ArmModuleId: 	1 	Time: 	4155095 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3373104579 	time_after_control_loop: 	3373131561 	T_diff: 	26982 	AngleAxisMust1: 	184.629 	AngleAxisMust0: 	181.162 	AngleWheelMust1: 	185.185 	AngleWheelMust0: 	184.074 	AngleAxisIs1: 	187.92 	AngleAxisIs0: 	188.37 	AngleWheelIs1: 	183.921 	AngleWheelIs0: 	191.919 	PositionError1: 	0.153015 	PositionError0: 	-6.73569 	CurrentMust0: 	-555 	CurrentIs0: 	-726 	CurrentMust1: 	-29 	CurrentIs1: 	-48 	
ArmModuleId: 	0 	Time: 	4245672 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3373195124 	time_after_control_loop: 	3373222162 	T_diff: 	27038 	AngleAxisMust1: 	177.263 	AngleAxisMust0: 	183.229 	AngleWheelMust1: 	178.806 	AngleWheelMust0: 	175.72 	AngleAxisIs1: 	173.25 	AngleAxisIs0: 	180.72 	AngleWheelIs1: 	172.906 	AngleWheelIs0: 	173.594 	PositionError1: 	2.81334 	PositionError0: 	5.21085 	CurrentMust0: 	1281 	CurrentIs0: 	1279 	CurrentMust1: 	-922 	CurrentIs1: 	-943 	
ArmModuleId: 	1 	Time: 	4298319 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3373247772 	time_after_control_loop: 	3373274931 	T_diff: 	27159 	AngleAxisMust1: 	184.91 	AngleAxisMust0: 	181.465 	AngleWheelMust1: 	185.61 	AngleWheelMust0: 	184.21 	AngleAxisIs1: 	189.36 	AngleAxisIs0: 	192.96 	AngleWheelIs1: 	183.167 	AngleWheelIs0: 	195.553 	PositionError1: 	1.04265 	PositionError0: 	-9.94376 	CurrentMust0: 	-963 	CurrentIs0: 	-1690 	CurrentMust1: 	-117 	CurrentIs1: 	-128 	
ArmModuleId: 	0 	Time: 	4378652 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3373328110 	time_after_control_loop: 	3373354852 	T_diff: 	26742 	AngleAxisMust1: 	177.605 	AngleAxisMust0: 	183.533 	AngleWheelMust1: 	179.293 	AngleWheelMust0: 	175.917 	AngleAxisIs1: 	173.16 	AngleAxisIs0: 	180.36 	AngleWheelIs1: 	172.988 	AngleWheelIs0: 	173.332 	PositionError1: 	2.92857 	PositionError0: 	5.96017 	CurrentMust0: 	1394 	CurrentIs0: 	1412 	CurrentMust1: 	-939 	CurrentIs1: 	-951 	
ArmModuleId: 	1 	Time: 	4436016 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3373385488 	time_after_control_loop: 	3373412780 	T_diff: 	27292 	AngleAxisMust1: 	185.203 	AngleAxisMust0: 	181.78 	AngleWheelMust1: 	186.053 	AngleWheelMust0: 	184.352 	AngleAxisIs1: 	184.5 	AngleAxisIs0: 	182.16 	AngleWheelIs1: 	183.468 	AngleWheelIs0: 	185.532 	PositionError1: 	0.884201 	PositionError0: 	0.520081 	CurrentMust0: 	147 	CurrentIs0: 	1297 	CurrentMust1: 	-116 	CurrentIs1: 	-169 	
ArmModuleId: 	0 	Time: 	4526090 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3373475541 	time_after_control_loop: 	3373503487 	T_diff: 	27946 	AngleAxisMust1: 	177.964 	AngleAxisMust0: 	183.852 	AngleWheelMust1: 	179.805 	AngleWheelMust0: 	176.124 	AngleAxisIs1: 	173.25 	AngleAxisIs0: 	180.72 	AngleWheelIs1: 	172.906 	AngleWheelIs0: 	173.594 	PositionError1: 	3.21759 	PositionError0: 	6.20972 	CurrentMust0: 	1431 	CurrentIs0: 	1441 	CurrentMust1: 	-982 	CurrentIs1: 	-980 	
ArmModuleId: 	1 	Time: 	4585128 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3373534602 	time_after_control_loop: 	3373565088 	T_diff: 	30486 	AngleAxisMust1: 	185.51 	AngleAxisMust0: 	182.11 	AngleWheelMust1: 	186.518 	AngleWheelMust0: 	184.502 	AngleAxisIs1: 	182.07 	AngleAxisIs0: 	177.84 	AngleWheelIs1: 	183.102 	AngleWheelIs0: 	181.038 	PositionError1: 	1.39912 	PositionError0: 	5.47946 	CurrentMust0: 	593 	CurrentIs0: 	565 	CurrentMust1: 	-180 	CurrentIs1: 	-182 	
ArmModuleId: 	0 	Time: 	4669906 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3373619360 	time_after_control_loop: 	3373650507 	T_diff: 	31147 	AngleAxisMust1: 	178.352 	AngleAxisMust0: 	184.195 	AngleWheelMust1: 	180.357 	AngleWheelMust0: 	176.347 	AngleAxisIs1: 	173.25 	AngleAxisIs0: 	180.72 	AngleWheelIs1: 	172.906 	AngleWheelIs0: 	173.594 	PositionError1: 	3.44095 	PositionError0: 	6.76152 	CurrentMust0: 	1514 	CurrentIs0: 	1522 	CurrentMust1: 	-1016 	CurrentIs1: 	-1017 	
ArmModuleId: 	1 	Time: 	4727359 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3373676888 	time_after_control_loop: 	3373709113 	T_diff: 	32225 	AngleAxisMust1: 	185.841 	AngleAxisMust0: 	182.467 	AngleWheelMust1: 	187.02 	AngleWheelMust0: 	184.663 	AngleAxisIs1: 	183.87 	AngleAxisIs0: 	178.47 	AngleWheelIs1: 	184.601 	AngleWheelIs0: 	183.139 	PositionError1: 	0.0611115 	PositionError0: 	3.88022 	CurrentMust0: 	449 	CurrentIs0: 	2094 	CurrentMust1: 	-70 	CurrentIs1: 	-55 	
ArmModuleId: 	0 	Time: 	4821997 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3373771451 	time_after_control_loop: 	3373802383 	T_diff: 	30932 	AngleAxisMust1: 	178.757 	AngleAxisMust0: 	184.554 	AngleWheelMust1: 	180.933 	AngleWheelMust0: 	176.581 	AngleAxisIs1: 	173.16 	AngleAxisIs0: 	180.81 	AngleWheelIs1: 	172.773 	AngleWheelIs0: 	173.547 	PositionError1: 	3.80728 	PositionError0: 	7.38509 	CurrentMust0: 	1607 	CurrentIs0: 	1604 	CurrentMust1: 	-1071 	CurrentIs1: 	-1069 	
ArmModuleId: 	1 	Time: 	4879114 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3373828616 	time_after_control_loop: 	3373855332 	T_diff: 	26716 	AngleAxisMust1: 	186.188 	AngleAxisMust0: 	182.84 	AngleWheelMust1: 	187.545 	AngleWheelMust0: 	184.831 	AngleAxisIs1: 	186.84 	AngleAxisIs0: 	185.76 	AngleWheelIs1: 	184.088 	AngleWheelIs0: 	189.592 	PositionError1: 	0.742645 	PositionError0: 	-2.04884 	CurrentMust0: 	-84 	CurrentIs0: 	-461 	CurrentMust1: 	-137 	CurrentIs1: 	-142 	
ArmModuleId: 	0 	Time: 	4960151 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3373909608 	time_after_control_loop: 	3373941142 	T_diff: 	31534 	AngleAxisMust1: 	179.168 	AngleAxisMust0: 	184.919 	AngleWheelMust1: 	181.518 	AngleWheelMust0: 	176.817 	AngleAxisIs1: 	173.25 	AngleAxisIs0: 	180.81 	AngleWheelIs1: 	172.863 	AngleWheelIs0: 	173.637 	PositionError1: 	3.9539 	PositionError0: 	7.87981 	CurrentMust0: 	1682 	CurrentIs0: 	1677 	CurrentMust1: 	-1093 	CurrentIs1: 	-1091 	
