ArmModuleId: 	1 	Time: 	4333762 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3167327113 	time_after_control_loop: 	3167363380 	T_diff: 	36267 	AngleAxisMust1: 	147.359 	AngleAxisMust0: 	112.369 	AngleWheelMust1: 	115.043 	AngleWheelMust0: 	179.676 	AngleAxisIs1: 	146.16 	AngleAxisIs0: 	110.7 	AngleWheelIs1: 	179.274 	AngleWheelIs0: 	113.046 	PositionError1: 	0.401733 	PositionError0: 	1.99604 	CurrentMust0: 	255 	CurrentIs0: 	312 	CurrentMust1: 	-166 	CurrentIs1: 	-162 	
ArmModuleId: 	0 	Time: 	4421291 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3167414618 	time_after_control_loop: 	3167442104 	T_diff: 	27486 	AngleAxisMust1: 	138.591 	AngleAxisMust0: 	146.423 	AngleWheelMust1: 	122.546 	AngleWheelMust0: 	154.635 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	147.87 	AngleWheelIs1: 	148.463 	AngleWheelIs0: 	117.757 	PositionError1: 	6.17189 	PositionError0: 	4.7882 	CurrentMust0: 	1218 	CurrentIs0: 	1208 	CurrentMust1: 	-1425 	CurrentIs1: 	-1414 	
ArmModuleId: 	1 	Time: 	4481102 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3167474441 	time_after_control_loop: 	3167502957 	T_diff: 	28516 	AngleAxisMust1: 	147.589 	AngleAxisMust0: 	112.845 	AngleWheelMust1: 	115.5 	AngleWheelMust0: 	179.678 	AngleAxisIs1: 	146.97 	AngleAxisIs0: 	112.32 	AngleWheelIs1: 	179.31 	AngleWheelIs0: 	114.63 	PositionError1: 	0.368103 	PositionError0: 	0.869125 	CurrentMust0: 	196 	CurrentIs0: 	56 	CurrentMust1: 	-174 	CurrentIs1: 	0 	
ArmModuleId: 	0 	Time: 	4583023 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3167576363 	time_after_control_loop: 	3167603530 	T_diff: 	27167 	AngleAxisMust1: 	138.896 	AngleAxisMust0: 	146.67 	AngleWheelMust1: 	122.97 	AngleWheelMust0: 	154.822 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	147.69 	AngleWheelIs1: 	148.549 	AngleWheelIs0: 	117.671 	PositionError1: 	6.27315 	PositionError0: 	5.29837 	CurrentMust0: 	1294 	CurrentIs0: 	1275 	CurrentMust1: 	-1440 	CurrentIs1: 	-1414 	
ArmModuleId: 	1 	Time: 	4635243 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3167628572 	time_after_control_loop: 	3167656234 	T_diff: 	27662 	AngleAxisMust1: 	147.828 	AngleAxisMust0: 	113.341 	AngleWheelMust1: 	115.976 	AngleWheelMust0: 	179.68 	AngleAxisIs1: 	147.96 	AngleAxisIs0: 	114.48 	AngleWheelIs1: 	179.268 	AngleWheelIs0: 	116.652 	PositionError1: 	0.412598 	PositionError0: 	-0.676895 	CurrentMust0: 	60 	CurrentIs0: 	-352 	CurrentMust1: 	-190 	CurrentIs1: 	0 	
ArmModuleId: 	0 	Time: 	4719091 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3167712421 	time_after_control_loop: 	3167740227 	T_diff: 	27806 	AngleAxisMust1: 	139.207 	AngleAxisMust0: 	146.922 	AngleWheelMust1: 	123.401 	AngleWheelMust0: 	155.012 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	147.78 	AngleWheelIs1: 	148.506 	AngleWheelIs0: 	117.714 	PositionError1: 	6.50624 	PositionError0: 	5.68594 	CurrentMust0: 	1352 	CurrentIs0: 	1341 	CurrentMust1: 	-1475 	CurrentIs1: 	-1473 	
ArmModuleId: 	1 	Time: 	4776400 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3167769771 	time_after_control_loop: 	3167795806 	T_diff: 	26035 	AngleAxisMust1: 	148.071 	AngleAxisMust0: 	113.844 	AngleWheelMust1: 	116.46 	AngleWheelMust0: 	179.683 	AngleAxisIs1: 	148.5 	AngleAxisIs0: 	115.74 	AngleWheelIs1: 	179.206 	AngleWheelIs0: 	117.794 	PositionError1: 	0.477097 	PositionError0: 	-1.33551 	CurrentMust0: 	-27 	CurrentIs0: 	-24 	CurrentMust1: 	-208 	CurrentIs1: 	0 	
ArmModuleId: 	0 	Time: 	4872268 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3167865595 	time_after_control_loop: 	3167892545 	T_diff: 	26950 	AngleAxisMust1: 	139.504 	AngleAxisMust0: 	147.163 	AngleWheelMust1: 	123.813 	AngleWheelMust0: 	155.194 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	147.87 	AngleWheelIs1: 	148.463 	AngleWheelIs0: 	117.757 	PositionError1: 	6.73117 	PositionError0: 	6.05499 	CurrentMust0: 	1408 	CurrentIs0: 	1400 	CurrentMust1: 	-1509 	CurrentIs1: 	-1503 	
ArmModuleId: 	1 	Time: 	4927291 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3167920634 	time_after_control_loop: 	3167949418 	T_diff: 	28784 	AngleAxisMust1: 	148.304 	AngleAxisMust0: 	114.326 	AngleWheelMust1: 	116.922 	AngleWheelMust0: 	179.685 	AngleAxisIs1: 	148.5 	AngleAxisIs0: 	115.74 	AngleWheelIs1: 	179.206 	AngleWheelIs0: 	117.794 	PositionError1: 	0.479385 	PositionError0: 	-0.872986 	CurrentMust0: 	-18 	CurrentIs0: 	4 	CurrentMust1: 	-223 	CurrentIs1: 	0 	
ArmModuleId: 	0 	Time: 	5025088 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3168018427 	time_after_control_loop: 	3168053527 	T_diff: 	35100 	AngleAxisMust1: 	139.885 	AngleAxisMust0: 	147.472 	AngleWheelMust1: 	124.343 	AngleWheelMust0: 	155.428 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	147.69 	AngleWheelIs1: 	148.459 	AngleWheelIs0: 	117.581 	PositionError1: 	6.96886 	PositionError0: 	6.76033 	CurrentMust0: 	1514 	CurrentIs0: 	1526 	CurrentMust1: 	-1545 	CurrentIs1: 	-1554 	
