ArmModuleId: 	1 	Time: 	5000079 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4116503029 	time_after_control_loop: 	4116537295 	T_diff: 	34266 	AngleAxisMust1: 	147.81 	AngleAxisMust0: 	117.242 	AngleWheelMust1: 	117.823 	AngleWheelMust0: 	177.798 	AngleAxisIs1: 	145.53 	AngleAxisIs0: 	114.03 	AngleWheelIs1: 	177.053 	AngleWheelIs0: 	114.007 	PositionError1: 	0.745346 	PositionError0: 	3.81429 	CurrentMust0: 	198 	CurrentIs0: 	175 	CurrentMust1: 	-199 	CurrentIs1: 	-193 	
ArmModuleId: 	0 	Time: 	5092115 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4116595036 	time_after_control_loop: 	4116635281 	T_diff: 	40245 	AngleAxisMust1: 	140.45 	AngleAxisMust0: 	147.765 	AngleWheelMust1: 	125.047 	AngleWheelMust0: 	155.853 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	148.95 	AngleWheelIs1: 	147.857 	AngleWheelIs0: 	118.183 	PositionError1: 	7.9958 	PositionError0: 	6.86302 	CurrentMust0: 	1529 	CurrentIs0: 	1533 	CurrentMust1: 	-1699 	CurrentIs1: 	-1686 	
ArmModuleId: 	1 	Time: 	5162293 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4116665264 	time_after_control_loop: 	4116700100 	T_diff: 	34836 	AngleAxisMust1: 	148.087 	AngleAxisMust0: 	117.781 	AngleWheelMust1: 	118.357 	AngleWheelMust0: 	177.817 	AngleAxisIs1: 	145.62 	AngleAxisIs0: 	114.03 	AngleWheelIs1: 	177.143 	AngleWheelIs0: 	114.097 	PositionError1: 	0.674271 	PositionError0: 	4.2583 	CurrentMust0: 	365 	CurrentIs0: 	225 	CurrentMust1: 	-217 	CurrentIs1: 	-206 	
ArmModuleId: 	0 	Time: 	5260428 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4116763347 	time_after_control_loop: 	4116795637 	T_diff: 	32290 	AngleAxisMust1: 	140.853 	AngleAxisMust0: 	148.093 	AngleWheelMust1: 	125.607 	AngleWheelMust0: 	156.099 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	148.86 	AngleWheelIs1: 	147.99 	AngleWheelIs0: 	118.23 	PositionError1: 	8.1086 	PositionError0: 	7.37539 	CurrentMust0: 	1606 	CurrentIs0: 	1599 	CurrentMust1: 	-1716 	CurrentIs1: 	-1730 	
ArmModuleId: 	1 	Time: 	5335373 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4116838326 	time_after_control_loop: 	4116871776 	T_diff: 	33450 	AngleAxisMust1: 	148.412 	AngleAxisMust0: 	118.415 	AngleWheelMust1: 	118.984 	AngleWheelMust0: 	177.839 	AngleAxisIs1: 	147.42 	AngleAxisIs0: 	117.27 	AngleWheelIs1: 	177.394 	AngleWheelIs0: 	117.446 	PositionError1: 	0.444641 	PositionError0: 	1.53748 	CurrentMust0: 	247 	CurrentIs0: 	-63 	CurrentMust1: 	-218 	CurrentIs1: 	-213 	
ArmModuleId: 	0 	Time: 	5427876 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4116930796 	time_after_control_loop: 	4116966915 	T_diff: 	36119 	AngleAxisMust1: 	141.275 	AngleAxisMust0: 	148.438 	AngleWheelMust1: 	126.194 	AngleWheelMust0: 	156.357 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	149.04 	AngleWheelIs1: 	147.814 	AngleWheelIs0: 	118.226 	PositionError1: 	8.5426 	PositionError0: 	7.96656 	CurrentMust0: 	1695 	CurrentIs0: 	1673 	CurrentMust1: 	-1781 	CurrentIs1: 	-1804 	
ArmModuleId: 	1 	Time: 	5495797 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4116998760 	time_after_control_loop: 	4117032755 	T_diff: 	33995 	AngleAxisMust1: 	148.753 	AngleAxisMust0: 	119.08 	AngleWheelMust1: 	119.643 	AngleWheelMust0: 	177.862 	AngleAxisIs1: 	149.94 	AngleAxisIs0: 	122.31 	AngleWheelIs1: 	177.506 	AngleWheelIs0: 	122.374 	PositionError1: 	0.356247 	PositionError0: 	-2.73219 	CurrentMust0: 	-112 	CurrentIs0: 	-290 	CurrentMust1: 	-223 	CurrentIs1: 	-226 	
ArmModuleId: 	0 	Time: 	5585904 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4117088825 	time_after_control_loop: 	4117116938 	T_diff: 	28113 	AngleAxisMust1: 	141.704 	AngleAxisMust0: 	148.787 	AngleWheelMust1: 	126.789 	AngleWheelMust0: 	156.618 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	148.86 	AngleWheelIs1: 	147.99 	AngleWheelIs0: 	118.23 	PositionError1: 	8.62828 	PositionError0: 	8.55806 	CurrentMust0: 	1783 	CurrentIs0: 	1784 	CurrentMust1: 	-1794 	CurrentIs1: 	-1774 	
ArmModuleId: 	1 	Time: 	5641969 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4117144909 	time_after_control_loop: 	4117172261 	T_diff: 	27352 	AngleAxisMust1: 	149.099 	AngleAxisMust0: 	119.754 	AngleWheelMust1: 	120.311 	AngleWheelMust0: 	177.886 	AngleAxisIs1: 	150.57 	AngleAxisIs0: 	124.38 	AngleWheelIs1: 	177.147 	AngleWheelIs0: 	123.993 	PositionError1: 	0.739029 	PositionError0: 	-3.68338 	CurrentMust0: 	-282 	CurrentIs0: 	-321 	CurrentMust1: 	-259 	CurrentIs1: 	-266 	
ArmModuleId: 	0 	Time: 	5732351 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4117235306 	time_after_control_loop: 	4117268746 	T_diff: 	33440 	AngleAxisMust1: 	142.08 	AngleAxisMust0: 	149.094 	AngleWheelMust1: 	127.313 	AngleWheelMust0: 	156.848 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	148.95 	AngleWheelIs1: 	147.857 	AngleWheelIs0: 	118.183 	PositionError1: 	8.99117 	PositionError0: 	9.12819 	CurrentMust0: 	1869 	CurrentIs0: 	1865 	CurrentMust1: 	-1848 	CurrentIs1: 	-1841 	
