ArmModuleId: 	1 	Time: 	4449334 	P0: 	130 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650170929 	time_after_control_loop: 	3650201484 	T_diff: 	30555 	AngleAxisMust1: 	140.182 	AngleAxisMust0: 	121.15 	AngleWheelMust1: 	112.062 	AngleWheelMust0: 	168.303 	AngleAxisIs1: 	139.23 	AngleAxisIs0: 	122.13 	AngleWheelIs1: 	166.882 	AngleWheelIs0: 	111.578 	PositionError1: 	1.42043 	PositionError0: 	0.482964 	CurrentMust0: 	62 	CurrentIs0: 	11 	CurrentMust1: 	-184 	CurrentIs1: 	-206 	
ArmModuleId: 	0 	Time: 	4551449 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650273013 	time_after_control_loop: 	3650303180 	T_diff: 	30167 	AngleAxisMust1: 	135.937 	AngleAxisMust0: 	144.551 	AngleWheelMust1: 	118.998 	AngleWheelMust0: 	152.876 	AngleAxisIs1: 	129.96 	AngleAxisIs0: 	145.71 	AngleWheelIs1: 	146.345 	AngleWheelIs0: 	113.575 	PositionError1: 	6.53027 	PositionError0: 	5.42171 	CurrentMust0: 	1084 	CurrentIs0: 	1094 	CurrentMust1: 	-1632 	CurrentIs1: 	-1627 	
ArmModuleId: 	1 	Time: 	4608880 	P0: 	130 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650330484 	time_after_control_loop: 	3650369702 	T_diff: 	39218 	AngleAxisMust1: 	140.492 	AngleAxisMust0: 	121.608 	AngleWheelMust1: 	112.59 	AngleWheelMust0: 	168.394 	AngleAxisIs1: 	139.23 	AngleAxisIs0: 	122.13 	AngleWheelIs1: 	166.882 	AngleWheelIs0: 	111.578 	PositionError1: 	1.51143 	PositionError0: 	1.01154 	CurrentMust0: 	131 	CurrentIs0: 	121 	CurrentMust1: 	-196 	CurrentIs1: 	-206 	
ArmModuleId: 	0 	Time: 	4703373 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650424939 	time_after_control_loop: 	3650460590 	T_diff: 	35651 	AngleAxisMust1: 	136.295 	AngleAxisMust0: 	144.839 	AngleWheelMust1: 	119.494 	AngleWheelMust0: 	153.096 	AngleAxisIs1: 	130.14 	AngleAxisIs0: 	145.71 	AngleWheelIs1: 	146.525 	AngleWheelIs0: 	113.755 	PositionError1: 	6.57079 	PositionError0: 	5.73762 	CurrentMust0: 	1147 	CurrentIs0: 	1153 	CurrentMust1: 	-1642 	CurrentIs1: 	-1649 	
ArmModuleId: 	1 	Time: 	4770719 	P0: 	130 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650492298 	time_after_control_loop: 	3650523421 	T_diff: 	31123 	AngleAxisMust1: 	140.813 	AngleAxisMust0: 	122.083 	AngleWheelMust1: 	113.138 	AngleWheelMust0: 	168.488 	AngleAxisIs1: 	139.23 	AngleAxisIs0: 	122.04 	AngleWheelIs1: 	166.925 	AngleWheelIs0: 	111.535 	PositionError1: 	1.56281 	PositionError0: 	1.60261 	CurrentMust0: 	208 	CurrentIs0: 	219 	CurrentMust1: 	-203 	CurrentIs1: 	-206 	
ArmModuleId: 	0 	Time: 	4869775 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650591337 	time_after_control_loop: 	3650628601 	T_diff: 	37264 	AngleAxisMust1: 	136.685 	AngleAxisMust0: 	145.153 	AngleWheelMust1: 	120.034 	AngleWheelMust0: 	153.336 	AngleAxisIs1: 	130.05 	AngleAxisIs0: 	145.71 	AngleWheelIs1: 	146.435 	AngleWheelIs0: 	113.665 	PositionError1: 	6.90096 	PositionError0: 	6.36775 	CurrentMust0: 	1273 	CurrentIs0: 	1271 	CurrentMust1: 	-1725 	CurrentIs1: 	-1723 	
ArmModuleId: 	1 	Time: 	4938611 	P0: 	130 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650660192 	time_after_control_loop: 	3650694530 	T_diff: 	34338 	AngleAxisMust1: 	141.163 	AngleAxisMust0: 	122.6 	AngleWheelMust1: 	113.735 	AngleWheelMust0: 	168.591 	AngleAxisIs1: 	139.14 	AngleAxisIs0: 	122.22 	AngleWheelIs1: 	166.749 	AngleWheelIs0: 	111.531 	PositionError1: 	1.84157 	PositionError0: 	2.20342 	CurrentMust0: 	286 	CurrentIs0: 	261 	CurrentMust1: 	-239 	CurrentIs1: 	-240 	
ArmModuleId: 	0 	Time: 	5035412 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650756981 	time_after_control_loop: 	3650787327 	T_diff: 	30346 	AngleAxisMust1: 	137.087 	AngleAxisMust0: 	145.476 	AngleWheelMust1: 	120.59 	AngleWheelMust0: 	153.584 	AngleAxisIs1: 	130.05 	AngleAxisIs0: 	145.71 	AngleWheelIs1: 	146.435 	AngleWheelIs0: 	113.665 	PositionError1: 	7.14818 	PositionError0: 	6.92377 	CurrentMust0: 	1384 	CurrentIs0: 	1412 	CurrentMust1: 	-1787 	CurrentIs1: 	-1782 	
ArmModuleId: 	1 	Time: 	5097978 	P0: 	130 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650819569 	time_after_control_loop: 	3650853388 	T_diff: 	33819 	AngleAxisMust1: 	141.523 	AngleAxisMust0: 	123.132 	AngleWheelMust1: 	114.35 	AngleWheelMust0: 	168.697 	AngleAxisIs1: 	139.68 	AngleAxisIs0: 	123.12 	AngleWheelIs1: 	166.859 	AngleWheelIs0: 	112.501 	PositionError1: 	1.8374 	PositionError0: 	1.84775 	CurrentMust0: 	240 	CurrentIs0: 	237 	CurrentMust1: 	-238 	CurrentIs1: 	-254 	
ArmModuleId: 	0 	Time: 	5194485 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	3650916044 	time_after_control_loop: 	3650946695 	T_diff: 	30651 	AngleAxisMust1: 	137.498 	AngleAxisMust0: 	145.807 	AngleWheelMust1: 	121.159 	AngleWheelMust0: 	153.837 	AngleAxisIs1: 	129.96 	AngleAxisIs0: 	145.62 	AngleWheelIs1: 	146.388 	AngleWheelIs0: 	113.532 	PositionError1: 	7.44838 	PositionError0: 	7.62624 	CurrentMust0: 	1525 	CurrentIs0: 	1522 	CurrentMust1: 	-1862 	CurrentIs1: 	-1855 	
